;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
634;CAMB4;6,25;7,79;2,05;0,951;0,00%;0,782;6,11;4,69;-4,18;6,32;5,16;20,28%;12,26%;1,42;18,97%;26,29%;0,00;129.050.000,00;0,84;-3,05%;
635;REDE3;6,04;7,83;3,04;0,784;8,64%;0,513;5,43;3,47;-1,09;5,71;4,86;22,62%;13,38%;1,47;16,77%;38,90%;11.903,40;4.186.380.000,00;2,39;13,19%;
636;WHRL4;4,73;7,85;3,52;0,623;9,15%;0,841;41,75;8,30;-20,25;8,11;6,62;7,50%;7,95%;1,03;23,46%;44,88%;96.731,30;2.017.060.000,00;0,58;9,66%;
637;EZTC3;16,43;7,86;0,83;3,458;3,58%;0,717;1,95;13,65;2,23;10,67;10,44;25,33%;46,30%;6,17;6,37%;10,53%;31.943.400,00;4.387.210.000,00;0,01;8,66%;
638;GETT4;2,16;7,86;1,18;1,314;0,00%;0,071;2,68;5,71;2,86;7,81;5,11;23,02%;16,70%;1,03;1,27%;15,03%;330.009,00;3.413.160.000,00;0,67;0,00%;
639;GETT3;2,17;7,90;1,19;1,320;0,00%;0,072;2,70;5,73;2,87;7,83;5,13;23,02%;16,70%;1,03;1,27%;15,03%;305.092,00;3.413.160.000,00;0,67;0,00%;
640;WLMM4;21,50;7,90;1,41;0,480;4,52%;1,132;2,89;7,32;3,73;5,95;5,74;6,56%;6,08%;4,69;20,54%;17,80%;42.606,60;556.826.000,00;0,02;30,47%;
641;BPAC5;5,26;8,00;1,54;0,000;2,44%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;19,25%;36.962,50;39.299.500.000,00;0,00;65,69%;
642;CAML3;10,64;8,02;1,33;0,425;3,48%;0,483;1,34;7,26;-17,19;10,68;8,04;5,85%;5,31%;2,46;10,14%;16,60%;14.459.200,00;2.878.800.000,00;1,19;19,38%;
643;SOND3;46,01;8,02;1,74;1,183;13,11%;1,225;3,37;6,32;4,34;4,59;4,19;18,73%;14,76%;2,69;29,30%;21,69%;0,00;65.022.000,00;0,00;16,94%;
644;BPAR3;182,07;8,03;1,04;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,91%;0,00;1.672.380.000,00;0,00;2,85%;
645;ITUB4;22,90;8,07;1,55;0,000;2,56%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;19,23%;800.943.000,00;144.690.000.000,00;0,00;-13,56%;
646;WSON33;67,00;8,07;0,98;1,067;0,00%;0,400;13,41;2,42;-0,89;5,08;5,08;44,14%;13,58%;1,26;18,36%;12,17%;0,00;2.148.530.000,00;1,21;5,23%;
647;CMET4;3,91;8,10;5,38;3,068;0,00%;3,136;9,47;5,72;27,20;5,34;5,34;53,63%;43,03%;2,64;81,40%;66,40%;0,00;2.847.970.000,00;0,18;30,18%;
648;RDTR3;6,30;8,11;1,37;0,000;0,00%;1,320;0,00;-1.919,75;0,00;-1.897,05;-219,41;0,00%;0,00%;0,00;0,00%;16,95%;0,00;497.092.000,00;0,00;0,00%;
649;BBDC4;17,38;8,12;1,23;0,000;3,61%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;15,09%;656.718.000,00;151.099.000.000,00;0,00;13,90%;
650;BALM4;10,87;8,13;0,86;0,790;2,31%;0,475;1,13;13,85;1,87;11,20;7,74;5,71%;6,78%;2,56;4,43%;10,56%;2.208,58;124.110.000,00;0,16;7,13%;
651;TGMA3;13,22;8,19;1,25;0,860;7,07%;0,848;2,94;7,89;5,28;7,67;6,39;10,91%;10,49%;2,51;14,20%;15,23%;2.689.370,00;699.442.000,00;0,27;-4,95%;
652;CEPE5;39,50;8,21;1,56;0,341;10,83%;0,228;3,37;2,46;-0,42;7,39;5,68;13,86%;4,15%;1,29;10,36%;18,98%;30.127,30;1.891.000.000,00;3,41;11,79%;
653;PSSA3;18,16;8,24;1,26;0,528;5,13%;0,276;5,32;0,65;-2,19;0,14;0,14;81,12%;6,40%;1,09;54,29%;15,32%;28.521.300,00;9.296.640.000,00;0,00;5,94%;
654;VBBR3;16,55;8,28;1,53;0,135;3,52%;0,523;1,90;4,78;-3,63;7,16;6,29;2,83%;1,64%;2,15;14,09%;18,52%;204.945.000,00;12.582.000.000,00;1,10;9,00%;
655;SMTO3;34,69;8,29;2,31;2,147;7,68%;0,707;3,63;6,24;-1,89;9,26;5,07;34,38%;25,89%;2,55;14,08%;27,84%;78.896.900,00;5.318.430.000,00;1,67;13,51%;
656;CEPE6;40,15;8,34;1,58;0,347;11,72%;0,232;3,42;2,50;-0,42;7,43;5,72;13,86%;4,15%;1,29;10,36%;18,98%;284,16;1.891.000.000,00;3,41;11,79%;
657;PATI3;69,47;8,40;1,98;0,613;4,19%;0,802;1,48;7,15;2,94;7,63;7,32;8,57%;7,30%;2,66;21,77%;23,52%;853,47;841.030.000,00;0,87;31,99%;
658;CTSA3;1,58;8,41;0,58;0,292;3,43%;0,272;11,06;6,60;-1,71;12,96;9,07;4,43%;3,47%;1,07;4,68%;6,93%;44.065,20;301.441.000,00;0,60;8,17%;
659;AGIN3;5,29;8,46;1,23;1,816;0,00%;0,565;1,29;10,92;3,55;14,68;14,68;16,63%;21,83%;2,72;5,59%;14,56%;0,00;1.028.210.000,00;0,55;44,17%;
660;BRIV4;6,84;8,46;0,38;0,000;8,77%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,47%;9.622,81;1.604.230.000,00;0,00;35,46%;
661;AELP3;1,93;8,49;-200,57;-0,062;0,00%;5,216;0,00;-12,58;0,00;-11,94;-11,98;0,49%;-0,73%;0,00;0,00%;-2.363,83%;0,00;-904.000,00;0,00;1,18%;
662;EQPA3;4,68;8,50;2,81;1,223;9,40%;0,857;5,46;4,85;-2,71;6,01;5,10;25,21%;14,39%;1,71;22,30%;33,08%;62.411,10;3.676.940.000,00;1,14;10,57%;
663;LVTC3;8,01;8,50;0,82;0,479;0,00%;0,394;2,08;1,96;29,36;1,89;1,22;24,48%;5,63%;1,55;22,34%;9,66%;2.632.940,00;630.313.000,00;0,00;0,00%;
664;BRSR5;17,35;8,51;0,79;0,000;6,87%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,27%;595,44;8.991.120.000,00;0,00;5,35%;
665;SIMH3;9,35;8,52;2,65;0,495;6,60%;0,165;0,59;2,13;-0,36;7,04;5,29;23,25%;9,39%;2,79;12,46%;31,12%;31.413.300,00;2.955.180.000,00;11,09;56,95%;
666;CPSL3;38,02;8,56;3,49;0,787;0,00%;2,043;7,39;5,79;11,84;5,48;5,48;13,59%;9,20%;1,89;57,15%;40,82%;0,00;1.634.730.000,00;0,17;16,21%;
